utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
21,YDCK,Korean,0,40.0,40.0,79,0.556277871131897,0.9679655432701111,0.7897718644162308,0.5764981508255005,0.5335646867752075,0.5681713819503784
21,YDCK,Korean,20,40.0,60.0,79,0.49085646867752075,0.9399453401565552,0.8292310973331563,0.5409682989120483,0.4332248866558075,0.5216309428215027
21,YDCK,Korean,40,40.0,80.0,79,0.44438570737838745,0.8200194239616394,0.827514308490717,0.46660786867141724,0.4243773818016052,0.45265787839889526
21,YDCK,Korean,80,40.0,120.0,79,0.38265833258628845,0.768634557723999,0.8467305587268247,0.44259166717529297,0.36535704135894775,0.36945226788520813
21,YDCK,Korean,160,40.0,200.0,79,0.25987327098846436,0.509864866733551,0.9071949669105288,0.3214137554168701,0.22235172986984253,0.2654520273208618
21,YDCK,Korean,320,40.0,360.0,79,0.13073194026947021,0.2892974615097046,0.9540871726567318,0.20521067082881927,0.10697563737630844,0.11650652438402176
21,YDCK,Korean,640,40.0,680.0,79,0.06670578569173813,0.14498686790466309,0.982189930033207,0.11119288206100464,0.04777418076992035,0.06280224770307541
22,RRBI,Hindi,0,40.0,40.0,141,0.5544114112854004,0.888924241065979,0.7284188585576477,0.5454486608505249,0.5836061835289001,0.5301316976547241
22,RRBI,Hindi,20,40.0,60.0,141,0.48441460728645325,0.9488186836242676,0.7673409022381509,0.5287076234817505,0.4859043061733246,0.4611930549144745
22,RRBI,Hindi,40,40.0,80.0,141,0.4236196279525757,0.8925403356552124,0.7878434307044897,0.4653436541557312,0.42043325304985046,0.4062541127204895
22,RRBI,Hindi,80,40.0,120.0,141,0.35653460025787354,0.8170899748802185,0.8374471672388255,0.410077840089798,0.35298505425453186,0.33371999859809875
22,RRBI,Hindi,160,40.0,200.0,141,0.27385157346725464,0.7094510793685913,0.8900355262645187,0.38443541526794434,0.2646765410900116,0.2285437434911728
22,RRBI,Hindi,320,40.0,360.0,141,0.18141192197799683,0.5610859990119934,0.9309933281536101,0.29769906401634216,0.1586831659078598,0.14661839604377747
22,RRBI,Hindi,640,40.0,680.0,141,0.08249863237142563,0.26701825857162476,0.9660748278804926,0.17963163554668427,0.05789921060204506,0.05895201489329338
23,MBMPS,Spanish,0,40.0,40.0,212,0.4786958396434784,0.8364570736885071,0.7568667926633524,0.45245635509490967,0.4799339771270752,0.49142226576805115
23,MBMPS,Spanish,20,40.0,60.0,212,0.4251827597618103,0.9107452630996704,0.81081981446947,0.4049704670906067,0.4213312864303589,0.44033175706863403
23,MBMPS,Spanish,40,40.0,80.0,212,0.3629184365272522,0.7088007926940918,0.847166468389865,0.35704097151756287,0.36849936842918396,0.3598688244819641
23,MBMPS,Spanish,80,40.0,120.0,212,0.3089727461338043,0.6308227181434631,0.8698283727303319,0.3096417188644409,0.3117882013320923,0.30548095703125
23,MBMPS,Spanish,160,40.0,200.0,212,0.21601085364818573,0.541495680809021,0.9065101753438201,0.24036642909049988,0.1962864100933075,0.22486314177513123
